River,Location,pH,Turbidity,Temperature,DO,BOD,EC,Nitrate,Fecal_Coliform,City,Latitude,Longitude
Kaveri,E,7.8,10.44,31.2,3.61,5.66,356.7,5.97,4899,Thanjavur,10.787,79.1378
Godavari,B,8.46,4.64,34.42,9.27,1.34,546.48,7.62,4957,Nanded,19.16,77.31
Narmada,D,8.65,5.83,15.12,8.08,6.12,398.64,5.29,385,Vadodara,22.3072,73.1812
Kaveri,B,6.68,13.84,17.32,7.41,9.29,522.94,28.74,733,Mysuru,12.2958,76.6394
Brahmaputra,E,6.64,5.07,31.97,4.41,9.72,387.2,25.65,1923,Dhubri,26.0222,89.9856
Mahanadi,E,7.83,7.58,33.31,3.47,5.86,191.47,6.99,4307,Paradip,20.316,86.6103
Narmada,A,7.23,13.46,21.65,8.05,5.12,430.92,9.89,2502,Amarkantak,22.6744,81.7597
Narmada,E,8.52,10.91,13.16,5.79,9.51,446.44,6.38,1952,Bharuch,21.7051,72.9959
Kaveri,A,8.7,1.87,12.91,3.81,7.06,657.95,14.81,4014,Kodagu,12.3375,75.8069
Yamuna,D,7.06,3.06,25.2,6.93,1.58,601.64,0.69,2354,Agra,27.1767,78.0081
Brahmaputra,B,6.71,1.11,21.04,2.32,5.19,547.84,20.17,1341,Tezpur,26.633,92.8
Kaveri,B,8.34,9.83,12.66,4.61,3.16,135.04,15.74,4598,Mysuru,12.2958,76.6394
Brahmaputra,A,6.82,7.27,25.41,5.75,5.23,590.46,26.97,347,Dibrugarh,27.4728,94.911
Brahmaputra,B,8.47,2.88,12.26,3.18,5.1,425.23,5.02,1875,Tezpur,26.633,92.8
Mahanadi,E,7.27,14.41,30.11,9.88,6.24,720.57,24.14,3147,Paradip,20.316,86.6103
Narmada,C,8,8.42,19.05,3.67,4.21,739.9,23.78,801,Hoshangabad,22.7441,77.7369
Godavari,A,6.29,4.39,12.93,3.04,2.48,91.37,3.9,3621,Nashik,19.9975,73.7898
Mahanadi,B,7.87,8.01,25.53,3.63,5.53,665.48,12.02,3710,Sambalpur,21.4669,83.9812
Mahanadi,A,7.36,10.51,21.15,8.15,8.47,78.27,5.19,1526,Raipur,21.2514,81.6296
Brahmaputra,A,7.76,2.07,34.4,5.4,6.98,325.38,7.72,3963,Dibrugarh,27.4728,94.911
Krishna,C,6.5,4.85,24.52,6.52,4.05,456.72,7.97,3918,Vijayawada,16.5062,80.648
Narmada,E,8.21,12.3,18.33,2.17,9.42,161.08,16.73,2683,Bharuch,21.7051,72.9959
Yamuna,A,8.59,7.44,28.32,2.28,9.21,609.74,12.4,2132,Uttarkashi,30.7298,78.4434
Mahanadi,B,6.65,8.65,18.24,5.57,2.88,56.27,28.44,3795,Sambalpur,21.4669,83.9812
Godavari,D,6.29,7.06,32.8,8.53,1.35,176.45,3.88,68,Rajahmundry,17.0005,81.804
Krishna,A,6.07,1.61,20.62,9.08,7.67,485.6,29.21,2443,Mahabaleshwar,17.9307,73.6477
Krishna,A,7.93,3.32,24.65,2.69,8.45,585.79,7,2072,Mahabaleshwar,17.9307,73.6477
Yamuna,C,7.82,7.24,13.16,6.31,9.71,737.48,23.21,1264,Mathura,27.4924,77.6737
Mahanadi,E,7.64,3.93,21.8,9.31,9.01,579.12,10.24,3698,Paradip,20.316,86.6103
Godavari,D,6.7,1.7,31.14,5.1,6.4,553.83,4.38,3758,Rajahmundry,17.0005,81.804
Narmada,B,7.17,12.81,30.53,8.64,5.77,345.76,25.75,4140,Jabalpur,23.1815,79.9864
Ganga,D,7.78,14.74,17.16,3.07,1.25,50.96,9.33,4267,Varanasi,25.3176,82.9739
Godavari,B,7.49,12.1,17.2,9.48,3.22,140.12,19.8,3039,Nanded,19.16,77.31
Yamuna,E,8.96,12.95,30.8,8.01,5.14,450.92,17.04,2856,Prayagraj,25.4358,81.8463
Krishna,B,6.41,4.39,33.4,9.53,6.66,556.35,14.21,480,Sangli,16.8524,74.5815
Narmada,C,8.09,14.45,14.19,7.41,6.02,363.09,14.93,4045,Hoshangabad,22.7441,77.7369
Godavari,C,7.21,3.76,22.35,4.91,7.68,598.01,21.99,2909,Adilabad,19.6667,78.5333
Ganga,C,7.28,14.32,19.76,9.51,3.52,441.4,2.72,1456,Patna,25.5941,85.1376
Ganga,C,8.15,14.93,32.03,4.2,6.08,105.63,20.08,4453,Patna,25.5941,85.1376
Brahmaputra,D,8.08,10.96,13.92,4.66,1.79,194.01,26.88,4799,Goalpara,26.17,90.62
Brahmaputra,E,8.97,14.74,16.86,7.61,4.72,680,1.83,922,Dhubri,26.0222,89.9856
Kaveri,B,6.39,8.97,29.31,8.12,7.75,593.68,4.31,4252,Mysuru,12.2958,76.6394
Yamuna,B,6.31,4.63,13.18,9.44,7.24,721.07,21.53,1721,New Delhi,28.6139,77.209
Mahanadi,C,8.17,7.12,23.33,3.64,9.92,138.17,13.17,684,Cuttack,20.4625,85.8828
Godavari,C,7.74,9.31,22.17,8.38,3.5,792.67,12.17,1449,Adilabad,19.6667,78.5333
Godavari,A,6.82,2.02,19.69,7.91,5.48,207.06,4.2,2744,Nashik,19.9975,73.7898
Mahanadi,E,6.24,9.71,21.08,2.51,3.97,58.83,15.25,3640,Paradip,20.316,86.6103
Kaveri,D,6.26,14.74,24.19,5.1,4.97,798.07,3.88,695,Tiruchirappalli,10.7905,78.7047
Krishna,B,8.68,3.66,15.71,4.26,8.71,260.81,14.35,1136,Sangli,16.8524,74.5815
Krishna,A,6.58,12.1,25.16,4.44,7.16,551.01,22.93,4226,Mahabaleshwar,17.9307,73.6477
Kaveri,A,6.97,13.71,30.52,9.86,8.94,182.51,7.82,2476,Kodagu,12.3375,75.8069
Krishna,B,6.68,14.21,29.48,7.14,2.83,485.17,14.48,2407,Sangli,16.8524,74.5815
Brahmaputra,D,7.06,14.44,15.54,7.74,8.86,728.03,29.76,4147,Goalpara,26.17,90.62
Godavari,A,6.21,8.3,15.43,9.81,1.54,290.14,20.63,3448,Nashik,19.9975,73.7898
Kaveri,A,7.56,14.68,18.17,5.02,9,552.69,25.26,4134,Kodagu,12.3375,75.8069
Godavari,E,6.2,11.6,20.3,8.41,3.96,190.93,12.5,975,Kakinada,16.9891,82.2475
Mahanadi,D,8.4,3.26,21.39,5.48,3.83,518.6,23.06,929,Bhubaneswar,20.2961,85.8245
Ganga,A,6.7,7.68,27.63,8.96,5.61,302.34,1.31,4923,Rishikesh,30.0869,78.2676
Brahmaputra,D,7.62,11.06,13.3,3.45,9.47,208.41,3.78,2882,Goalpara,26.17,90.62
Narmada,B,8.64,4.46,12.8,9.58,1.43,284.89,6.17,1518,Jabalpur,23.1815,79.9864
Brahmaputra,C,7.95,9.97,21.01,3.75,4.17,184.13,12.12,1222,Guwahati,26.1445,91.7362
Kaveri,A,7.6,10.33,28.03,4.61,8.71,726.44,25.39,881,Kodagu,12.3375,75.8069
Narmada,E,6.97,3.28,16.45,8.05,4.56,347.89,10.45,4400,Bharuch,21.7051,72.9959
Ganga,B,7,8.91,26.75,5.15,2.79,233.96,19.67,3264,Kanpur,26.4499,80.3319
Kaveri,D,8.01,11.8,17.98,6.87,4.82,386.31,21.31,873,Tiruchirappalli,10.7905,78.7047
Yamuna,B,8.98,7.98,32.38,5.56,4.47,290.4,17.63,3963,New Delhi,28.6139,77.209
Godavari,A,7.99,1.17,32.6,7.94,9.24,608.31,10.78,3118,Nashik,19.9975,73.7898
Ganga,D,7.67,1.13,18.84,3.83,7.86,778.41,17.35,3065,Varanasi,25.3176,82.9739
Godavari,C,8.19,6,17.29,2.47,5.55,378.53,10.33,4004,Adilabad,19.6667,78.5333
Krishna,B,7.4,13.97,21.46,4.4,9.9,695.78,2.61,2692,Sangli,16.8524,74.5815
Yamuna,A,6.18,4.2,17.53,5.79,5.19,474.4,29.78,4700,Uttarkashi,30.7298,78.4434
Yamuna,E,7.69,9.88,27.46,3.34,1.52,167.93,3.9,623,Prayagraj,25.4358,81.8463
Ganga,D,8.87,4.11,31,4.84,3.36,567.97,2.26,1882,Varanasi,25.3176,82.9739
Yamuna,B,6.53,5.5,27.48,5.2,4.92,435.08,26.37,3164,New Delhi,28.6139,77.209
Narmada,B,8.07,12.87,30.96,2.46,2.41,537.95,9.12,4570,Jabalpur,23.1815,79.9864
Yamuna,C,6.6,11.2,21.13,6.67,9.53,717.27,19.54,3383,Mathura,27.4924,77.6737
Godavari,C,7.61,2.34,15.6,9.07,7.9,380.33,9.94,3201,Adilabad,19.6667,78.5333
Godavari,E,6.29,7,28.97,3.21,3.41,725.88,11.8,577,Kakinada,16.9891,82.2475
Kaveri,E,7.35,1.41,20.29,6.78,6.32,613,7.94,4143,Thanjavur,10.787,79.1378
Godavari,A,8.27,7.73,27.44,7.32,7.49,416.45,10.36,254,Nashik,19.9975,73.7898
Kaveri,A,7.04,10.27,18.22,5.35,9.47,502.42,12.38,30,Kodagu,12.3375,75.8069
Godavari,E,7.99,2.66,13.87,7.61,8.93,294.19,21.64,403,Kakinada,16.9891,82.2475
Narmada,E,8.39,5.04,34.83,5.29,5.64,787.7,15.39,3824,Bharuch,21.7051,72.9959
Mahanadi,D,8.78,6.57,15.59,6.04,7.97,550.51,28.31,2065,Bhubaneswar,20.2961,85.8245
Kaveri,C,6.7,13.87,34.73,2.06,6.06,82.89,1.35,3525,Erode,11.341,77.7172
Brahmaputra,A,7.2,14.91,34.48,7.53,5.97,294.97,15.14,2385,Dibrugarh,27.4728,94.911
Krishna,C,6.46,1.63,30.26,7.29,2.03,517.49,17.57,1920,Vijayawada,16.5062,80.648
Ganga,C,8.98,11.65,27.17,2.31,2.14,92.25,27.61,299,Patna,25.5941,85.1376
Godavari,E,8.78,6.2,25.29,4.95,5.77,67.91,1.57,2568,Kakinada,16.9891,82.2475
Yamuna,D,7.62,6.49,31.92,9.83,3.42,387.52,17.25,370,Agra,27.1767,78.0081
Mahanadi,B,8.53,11.56,18.66,5.37,1.19,299.52,25.62,1632,Sambalpur,21.4669,83.9812
Godavari,D,7.56,13.86,22.76,6.02,7.51,378.72,7.33,4324,Rajahmundry,17.0005,81.804
Yamuna,D,7.87,14.31,26.25,9.28,1.29,247.02,26.3,4104,Agra,27.1767,78.0081
Krishna,C,6.27,9.08,21.46,7.74,6.36,173.54,0.67,2463,Vijayawada,16.5062,80.648
Krishna,D,8.27,6,21.83,6.66,5.85,566.86,22,2025,Guntur,16.3067,80.4365
Krishna,A,6.38,12.03,19.6,8.38,9.72,435.93,28,2050,Mahabaleshwar,17.9307,73.6477
Yamuna,C,8.48,4.51,24.98,8.91,5.36,200.12,19.75,2054,Mathura,27.4924,77.6737
Godavari,A,8.35,8.9,31.56,5.66,1.57,289.69,13.23,2810,Nashik,19.9975,73.7898
Krishna,B,8.13,6.02,16.64,5.8,5.97,493.86,1.44,2980,Sangli,16.8524,74.5815
Narmada,C,6.11,10.19,33.49,5.09,8.57,104.17,27.61,841,Hoshangabad,22.7441,77.7369
Kaveri,B,6.91,4.37,27.85,9.73,9.97,160.59,14.16,1803,Mysuru,12.2958,76.6394
Yamuna,C,6.79,3.68,30.94,7.58,4.87,104.93,0.97,3702,Mathura,27.4924,77.6737
Yamuna,E,7.08,13.86,24.79,2.67,3.88,659.24,20.73,1801,Prayagraj,25.4358,81.8463
Godavari,D,6.26,2.43,29.93,8.9,9.16,614.31,14.51,2851,Rajahmundry,17.0005,81.804
Yamuna,E,8.81,8.08,12.37,5.84,2.72,614.98,3.82,4700,Prayagraj,25.4358,81.8463
Yamuna,B,7.66,4.09,30.82,2.55,6.54,587.24,6.51,2164,New Delhi,28.6139,77.209
Krishna,D,6.92,1.55,12.92,6.4,4.65,552.04,2.03,590,Guntur,16.3067,80.4365
Godavari,C,7.19,1.5,32.47,5.34,1.37,407.74,17.27,2863,Adilabad,19.6667,78.5333
Krishna,D,7.34,3.45,34.82,9.02,4.13,531.71,18.7,2246,Guntur,16.3067,80.4365
Kaveri,A,7.8,13.13,18.76,3.63,3.39,78.77,15.22,4186,Kodagu,12.3375,75.8069
Mahanadi,D,7.55,4.95,16.84,8.61,7.17,516.1,24.53,2165,Bhubaneswar,20.2961,85.8245
Kaveri,A,8.76,14.31,29.6,6.46,9.54,633.41,25.84,1354,Kodagu,12.3375,75.8069
Mahanadi,D,7.49,9.14,17.82,2.44,3.41,425.27,18.51,355,Bhubaneswar,20.2961,85.8245
Krishna,A,8.98,7.11,31.91,9.77,8.3,318.13,0.48,1896,Mahabaleshwar,17.9307,73.6477
Kaveri,B,8.55,9.12,14.37,6.1,1.5,258.07,20.89,564,Mysuru,12.2958,76.6394
Godavari,E,6.63,8.23,14.9,4.33,5.84,532.1,12.6,3780,Kakinada,16.9891,82.2475
Ganga,C,8.79,11.62,34.52,5.76,1.63,569.6,17.01,4407,Patna,25.5941,85.1376
Krishna,D,6.35,4.95,27.5,8.86,9.41,703.23,19.51,209,Guntur,16.3067,80.4365
Mahanadi,E,8.45,5.94,31.48,4.44,7.9,306.75,10.57,2950,Paradip,20.316,86.6103
Narmada,C,7.14,13.52,19.46,3.54,6.92,627.33,27.52,3500,Hoshangabad,22.7441,77.7369
